timesteps,mean_reward,success_rate,collision_rate,traffic_violation_rate,avg_speed,avg_episode_length
10000,10.0833175406995,0.0,1.0,1.0,1.7777222582744805,119.0
20000,-12.807434919393563,0.0,1.0,1.0,0.12059461551184529,941.0
30000,-11.18835501614958,0.0,1.0,1.0,0.13519168218016758,325.0
40000,-3.1905017546340786,0.0,0.0,0.0,0.14157645679439904,1000.0
50000,-3.971117732839775,0.0,0.0,0.0,0.14071002605793853,1000.0
60000,-3.089453261625022,0.0,0.0,0.0,0.12660619434417955,1000.0
70000,-3.226681271099369,0.0,0.0,0.0,0.13293405073327297,1000.0
80000,-0.727702807172318,0.0,0.0,0.0,0.06561636586524142,1000.0
90000,-1.704232559882803,0.0,0.0,0.0,0.029953438334350907,1000.0
100000,93.98532558139414,0.0,1.0,1.0,6.5380881709594645,155.0
