timesteps,mean_reward,success_rate,collision_rate,traffic_violation_rate,avg_speed,avg_episode_length
10000,-5.049661702022422,0.0,0.0,0.0,0.05285658158210579,1000.0
20000,-8.418188997474498,0.0,0.0,0.0,0.13133689077455382,1000.0
30000,-7.248073125723749,0.0,0.0,0.0,0.12683399522985067,1000.0
40000,-7.57524291803129,0.0,0.0,0.0,0.13879900533672276,1000.0
50000,-14.768669855652842,0.0,1.0,1.0,0.14029199351250574,329.0
60000,-10.639412102242932,0.0,1.0,1.0,1.6771687496504009,46.0
70000,-11.609645287325838,0.0,1.0,1.0,0.2828545684651108,309.0
80000,-4.615784270619042,0.0,0.0,0.0,0.07645873920570738,1000.0
90000,-7.166777785634622,0.0,0.0,0.0,0.1416133830512998,1000.0
100000,-1.8060187977622264,0.0,0.0,0.0,0.048700798945867034,1000.0
110000,-3.144923898507841,0.0,0.0,0.0,0.06606441235526388,1000.0
120000,-2.744817035627784,0.0,0.0,0.0,0.059369463705728445,1000.0
130000,-3.595251600421034,0.0,0.0,0.0,0.017011601420844354,1000.0
140000,-4.896515664143953,0.0,0.0,0.0,0.019472725350918346,1000.0
150000,-2.593359296466224,0.0,0.0,0.0,0.04668004168866983,1000.0
