timesteps,mean_reward,success_rate,collision_rate,traffic_violation_rate,avg_speed,avg_episode_length
10000,-10.70122397383675,0.0,0.0,0.0,0.028819512775663823,1000.0
20000,-12.237795871600975,0.0,0.0,0.0,0.13613739106573322,1000.0
30000,-12.38074977346696,0.0,0.0,0.0,0.136558755392945,1000.0
40000,-12.388489371701144,0.0,0.0,0.0,0.1341075801893318,1000.0
50000,-12.244673196971416,0.0,0.0,0.0,0.13252259348528436,1000.0
60000,-12.981541997287422,0.0,0.0,0.0,0.13922217833252729,1000.0
70000,-14.540069840848446,0.0,1.0,1.0,0.9806486431855387,79.0
80000,-18.60250721691991,0.0,1.0,1.0,0.14015181473652855,278.0
90000,-12.497035013441927,0.0,0.0,0.0,0.13829238021352025,1000.0
100000,-9.408793638646603,0.0,0.0,0.0,0.08746738469761792,1000.0
110000,-9.620635234285146,0.0,0.0,0.0,0.06236556625205773,1000.0
120000,-9.768818242102862,0.0,0.0,0.0,0.0398684297583809,1000.0
130000,-9.837550738546998,0.0,0.0,0.0,0.02853631116022262,1000.0
140000,-9.860269629769027,0.0,0.0,0.0,0.02455038628854462,1000.0
150000,-9.90368078853935,0.0,0.0,0.0,0.01671876085748093,1000.0
160000,-9.985676162131131,0.0,0.0,0.0,0.0015107867759479392,1000.0
170000,-9.933935551345348,0.0,0.0,0.0,0.010909433743582875,1000.0
180000,-9.953691287711262,0.0,0.0,0.0,0.007062057384295889,1000.0
190000,-9.889155956357717,0.0,0.0,0.0,0.019309100287565096,1000.0
200000,-9.971573034487665,0.0,0.0,0.0,0.004102616055931577,1000.0
