timesteps,mean_reward,success_rate,collision_rate,traffic_violation_rate,avg_speed,avg_episode_length
10000,-8.38140449700877,0.0,1.0,1.0,2.7164686758123233,53.0
20000,-52.172663404792544,0.0,0.0,0.0,0.12540638390527353,1000.0
30000,-53.74224320724606,0.0,0.0,0.0,0.14319435197401803,1000.0
40000,-52.05992257148027,0.0,0.0,0.0,0.12850334746537695,1000.0
50000,-49.978250031918286,0.0,0.0,0.0,0.002867311132331871,1000.0
60000,-49.33949542120099,0.0,0.0,0.0,0.09252521776312417,1000.0
70000,-49.44029484316707,0.0,0.0,0.0,0.08144191416402732,1000.0
80000,-49.69500365257263,0.0,0.0,0.0,0.04950078867498234,1000.0
90000,-49.319926442205904,0.0,0.0,0.0,0.09512946269400503,1000.0
100000,-49.3026995792985,0.0,0.0,0.0,0.0985919606586162,1000.0
110000,-49.709087474644186,0.0,0.0,0.0,0.04740419945423465,1000.0
120000,-52.26981656998396,0.0,0.0,0.0,0.13616240011743913,1000.0
130000,-52.16696194261313,0.0,0.0,0.0,0.13005016180200377,1000.0
140000,-52.12622688859701,0.0,0.0,0.0,0.12889178411025942,1000.0
150000,-52.16365852132439,0.0,0.0,0.0,0.1300757606243073,1000.0
160000,-50.78898971155286,0.0,1.0,1.0,0.11937840409579566,634.0
170000,-70.87406886518002,0.0,1.0,1.0,0.140492332397415,972.4
180000,-49.30936884954572,0.0,0.0,0.0,0.09853804829723242,1000.0
190000,-18.012105030938983,0.0,1.0,1.0,2.1491535356591793,37.0
200000,-23.171500205621122,0.0,1.0,1.0,0.6118483398291642,126.0
